,DeepRL Bot,action,Nepse Data,Stock price,Normal Investor,Date
0,20000,0,1481.18,787.260470756063,20000.0000000016,2016-05-18
1,20000,0,1481.94,781.268002853067,19847.7640342547,2016-05-19
2,20000,0,1477.38,776.77365192582,19733.5870599445,2016-05-22
3,20000,0,1467.51,773.028359486448,19638.4395813527,2016-05-23
4,20000,0,1483.53,788.009529243937,20019.02949572,2016-05-24
5,20000,0,1496.43,788.009529243937,20019.02949572,2016-05-25
6,20000,0,1499.32,791.75482168331,20114.1769743118,2016-05-26
7,20000,0,1509.39,788.758587731812,20038.0589914383,2016-05-29
8,20000,0,1524.07,789.507646219686,20057.0884871567,2016-05-30
9,20000,0,1544.53,801.492582025678,20361.5604186505,2016-05-31
10,20000,0,1524.12,791.75482168331,20114.1769743118,2016-06-01
11,20000,0,1525.09,788.009529243937,20019.02949572,2016-06-02
12,20000,0,1522.25,787.260470756063,20000.0000000016,2016-06-05
13,20000,0,1526.96,777.522710413695,19752.6165556629,2016-06-06
14,20000,1,1532.12,770.781184022825,19581.3510941976,2016-06-07
15,20000,1,1523.56,770.781184022825,19581.3510941976,2016-06-08
16,20000,1,1518.12,766.286833095578,19467.1741198874,2016-06-09
17,20000,1,1483.14,746.062253922967,18953.3777354915,2016-06-12
18,20000,1,1516.8,761.792482168331,19352.9971455772,2016-06-13
19,20000,0,1531.49,776.024593437946,19714.5575642261,2016-06-14
20,20000,1,1546.8,777.522710413695,19752.6165556629,2016-06-15
21,20000,1,1566.7,777.522710413695,19752.6165556629,2016-06-16
22,20000,0,1597.96,812.728459343795,20647.002854426,2016-06-19
23,20000,1,1609.59,801.492582025678,20361.5604186505,2016-06-20
24,20000,1,1614.15,791.75482168331,20114.1769743118,2016-06-21
25,20000,1,1620.47,794.751055634807,20190.2949571852,2016-06-22
26,20000,1,1632.94,796.249172610557,20228.353948622,2016-06-23
27,20000,1,1622.27,789.507646219686,20057.0884871567,2016-06-26
28,20000,1,1615.1,790.256704707561,20076.1179828751,2016-06-27
29,20000,1,1628.81,793.252938659059,20152.2359657485,2016-06-28
30,20000,1,1647.51,801.492582025678,20361.5604186505,2016-06-29
31,20000,1,1666.29,811.97940085592,20627.9733587076,2016-06-30
32,20000,0,1685,832.953038516405,21160.7992388219,2016-07-03
33,20000,0,1721.77,850.181383737518,21598.4776403443,2016-07-04
34,20000,0,1724.19,857.671968616263,21788.7725975279,2016-07-05
35,20000,0,1724.59,850.181383737518,21598.4776403443,2016-07-06
36,20000,0,1723.23,836.698330955777,21255.9467174137,2016-07-10
37,20000,0,1719.2,832.953038516405,21160.7992388219,2016-07-11
38,20000,0,1716.83,831.454921540656,21122.7402473851,2016-07-12
39,20000,0,1713.21,826.211512125535,20989.5337773566,2016-07-13
40,20000,0,1715.72,824.713395149786,20951.4747859198,2016-07-14
41,20000,0,1722.53,831.454921540656,21122.7402473851,2016-07-17
42,20000,0,1702.27,826.211512125535,20989.5337773566,2016-07-18
43,20000,0,1693.07,820.219044222539,20837.2978116096,2016-07-19
44,20000,0,1690.43,808.983166904422,20551.8553758342,2016-07-20
45,20000,0,1718.15,813.477517831669,20666.0323501444,2016-07-21
46,20000,0,1745.74,822.466219686163,20894.3862987648,2016-07-25
47,20000,0,1786.59,829.207746077033,21065.65176023,2016-07-26
48,20000,0,1800.47,838.196447931527,21294.0057088504,2016-07-27
49,20000,0,1786.84,839.694564907275,21332.0647002871,2016-07-28
50,20000,0,1798.83,841.941740370899,21389.1531874422,2016-07-31
51,20000,1,1838.49,853.92667617689,21693.6251189361,2016-08-01
52,20000,1,1866.5,850.181383737518,21598.4776403443,2016-08-02
53,20000,1,1881.45,856.173851640514,21750.7136060912,2016-08-03
54,20000,1,1877.93,855.424793152639,21731.6841103728,2016-08-04
55,20000,1,1862.76,854.675734664765,21712.6546146545,2016-08-07
56,20000,1,1845.41,850.930442225392,21617.5071360626,2016-08-08
57,20000,1,1826.47,847.18514978602,21522.3596574708,2016-08-09
58,20000,2,1813.72,827.709629101284,21027.5927687933,2016-08-10
59,20035.954807418,2,1768.6,812.728459343795,20647.002854426,2016-08-11
60,19155.0620256776,2,1764.72,814.226576319544,20685.0618458627,2016-08-14
61,19892.1355777461,2,1675.91,777.522710413695,19752.6165556629,2016-08-15
62,20071.9096148359,2,1760.42,808.234108416548,20532.8258801158,2016-08-16
63,20161.7966333809,2,1779.57,815.724693295292,20723.1208372995,2016-08-17
64,19982.022596291,2,1774.87,819.469985734665,20818.2683158913,2016-08-21
65,19316.8586590585,2,1733.93,811.97940085592,20627.9733587076,2016-08-22
66,19532.5875035663,2,1694.81,784.264236804565,19923.8820171281,2016-08-23
67,19568.5423109843,2,1717.45,793.252938659059,20152.2359657485,2016-08-24
68,19568.5423109843,2,1734.93,794.751055634807,20190.2949571852,2016-08-28
69,19460.6778887304,2,1722.43,794.751055634807,20190.2949571852,2016-08-29
70,19568.5423109843,1,1683.12,790.256704707561,20076.1179828751,2016-08-30
71,19658.4293295292,0,1681.86,794.751055634807,20190.2949571852,2016-08-31
72,19658.4293295292,2,1730.62,798.49634807418,20285.4424357771,2016-09-01
73,19622.4745221113,1,1748.23,806.735991440799,20494.7668886791,2016-09-04
74,20017.977403709,1,1766.54,805.23787446505,20456.7078972424,2016-09-05
75,19964.045192582,1,1788.08,821.717161198288,20875.3568030464,2016-09-06
76,20000,1,1797.45,819.469985734665,20818.2683158913,2016-09-07
77,20359.5480741797,1,1805.18,820.968102710414,20856.327307328,2016-09-08
78,20898.8701854494,0,1819.83,835.949272467903,21236.9172216953,2016-09-11
79,20898.8701854494,1,1838.9,858.421027104137,21807.8020932463,2016-09-12
80,20898.8701854494,1,1834.8,850.181383737518,21598.4776403443,2016-09-14
81,20898.8701854494,0,1824.83,856.922910128388,21769.7431018095,2016-09-18
82,20898.8701854494,0,1823.05,846.436091298146,21503.3301617524,2016-09-20
83,20898.8701854494,0,1816.81,836.698330955777,21255.9467174137,2016-09-22
84,20898.8701854494,0,1818.69,829.956804564907,21084.6812559484,2016-09-25
85,20898.8701854494,0,1815.17,836.698330955777,21255.9467174137,2016-09-26
86,20898.8701854494,0,1804.48,822.466219686163,20894.3862987648,2016-09-27
87,20898.8701854494,0,1786.5,815.724693295292,20723.1208372995,2016-09-28
88,20898.8701854494,0,1766.91,800.743523537803,20342.5309229322,2016-09-29
89,20898.8701854494,0,1730.64,771.530242510699,19600.3805899159,2016-10-02
90,20898.8701854494,0,1757.1,808.234108416548,20532.8258801158,2016-10-03
91,20898.8701854494,0,1753.72,802.241640513552,20380.5899143689,2016-10-04
92,20898.8701854494,0,1749.1,800.743523537803,20342.5309229322,2016-10-05
93,20898.8701854494,0,1753.38,813.477517831669,20666.0323501444,2016-10-06
94,20898.8701854494,0,1763.78,808.234108416548,20532.8258801158,2016-10-16
95,20898.8701854494,0,1780.4,811.230342368046,20608.9438629893,2016-10-17
96,20898.8701854494,1,1798.5,817.222810271042,20761.1798287362,2016-10-18
97,20898.8701854494,0,1806.6,812.728459343795,20647.002854426,2016-10-19
98,20898.8701854494,0,1819.88,808.234108416548,20532.8258801158,2016-10-20
99,20898.8701854494,0,1803.74,802.990699001427,20399.6194100873,2016-10-23
100,20898.8701854494,2,1793.36,805.23787446505,20456.7078972424,2016-10-24
101,20917.5966476462,0,1792.73,811.97940085592,20627.9733587076,2016-10-25
102,20917.5966476462,0,1787.89,812.728459343795,20647.002854426,2016-10-26
103,20917.5966476462,0,1794.47,810.481283880171,20589.9143672709,2016-10-27
104,20917.5966476462,0,1782.39,800.743523537803,20342.5309229322,2016-11-03
105,20917.5966476462,0,1768.89,789.507646219686,20057.0884871567,2016-11-07
106,20917.5966476462,0,1751,785.01329529244,19942.9115128465,2016-11-08
107,20917.5966476462,0,1753.46,789.507646219686,20057.0884871567,2016-11-09
108,20917.5966476462,0,1759.71,796.249172610557,20228.353948622,2016-11-10
109,20917.5966476462,0,1762.21,798.49634807418,20285.4424357771,2016-11-13
110,20917.5966476462,0,1749.12,789.507646219686,20057.0884871567,2016-11-14
111,20917.5966476462,0,1724.49,782.766119828816,19885.8230256914,2016-11-15
112,20917.5966476462,0,1696.86,775.275534950071,19695.5280685077,2016-11-16
113,20917.5966476462,0,1697.17,771.530242510699,19600.3805899159,2016-11-17
114,20917.5966476462,0,1700,773.028359486448,19638.4395813527,2016-11-20
115,20917.5966476462,0,1706.28,781.268002853067,19847.7640342547,2016-11-21
116,20917.5966476462,0,1701.91,779.020827389444,19790.6755470996,2016-11-22
117,20917.5966476462,0,1698.9,769.283067047076,19543.2921027608,2016-11-23
118,20917.5966476462,0,1658.08,758.047189728959,19257.8496669854,2016-11-24
119,20917.5966476462,0,1599.62,740.069786019972,18801.1417697446,2016-11-27
120,20917.5966476462,0,1606.29,742.316961483595,18858.2302568997,2016-11-28
121,20917.5966476462,0,1582.47,740.069786019972,18801.1417697446,2016-11-29
122,20917.5966476462,0,1540.01,725.837674750357,18439.5813510957,2016-11-30
123,20917.5966476462,0,1534.03,723.590499286733,18382.4928639406,2016-12-01
124,20917.5966476462,2,1469.48,705.613095577746,17925.7849666998,2016-12-04
125,21106.3593865906,0,1510.16,744.564136947218,18915.3187440548,2016-12-05
126,21106.3593865906,0,1553.68,751.305663338089,19086.5842055201,2016-12-06
127,21106.3593865906,1,1608.33,767.784950071327,19505.2331113241,2016-12-07
128,21106.3593865906,1,1600.49,759.545306704708,19295.9086584221,2016-12-08
129,21106.3593865906,0,1570.95,758.047189728959,19257.8496669854,2016-12-11
130,21106.3593865906,1,1544.6,744.564136947218,18915.3187440548,2016-12-12
131,21106.3593865906,1,1554.51,743.066019971469,18877.2597526181,2016-12-14
132,21106.3593865906,1,1553.9,742.316961483595,18858.2302568997,2016-12-15
133,21106.3593865906,0,1544.68,740.069786019972,18801.1417697446,2016-12-18
134,21106.3593865906,1,1522.8,725.837674750357,18439.5813510957,2016-12-19
135,21106.3593865906,1,1509.43,721.34332382311,18325.4043767855,2016-12-20
136,21106.3593865906,1,1516.08,716.848972895863,18211.2274024753,2016-12-21
137,21106.3593865906,1,1530.06,716.848972895863,18211.2274024753,2016-12-22
138,21106.3593865906,1,1531.35,714.60179743224,18154.1389153202,2016-12-26
139,21106.3593865906,1,1514.88,716.848972895863,18211.2274024753,2016-12-27
140,21106.3593865906,2,1495.99,712.354621968616,18097.0504281651,2016-12-28
141,21061.4158773182,0,1470.63,695.875335235378,17678.4015223611,2016-12-29
142,21061.4158773182,1,1475.41,694.377218259629,17640.3425309243,2017-01-01
143,21061.4158773182,0,1432.57,684.639457917261,17392.9590865856,2017-01-02
144,21061.4158773182,0,1407.53,671.156405135521,17050.428163655,2017-01-03
145,21061.4158773182,1,1413.15,669.658288159772,17012.3691722183,2017-01-04
146,21061.4158773182,0,1443.38,689.133808844508,17507.1360608958,2017-01-05
147,21061.4158773182,0,1465.72,694.377218259629,17640.3425309243,2017-01-08
148,21061.4158773182,0,1482.85,701.118744650499,17811.6079923896,2017-01-09
149,21061.4158773182,0,1456.82,692.130042796006,17583.2540437693,2017-01-10
150,21061.4158773182,1,1457.82,687.635691868759,17469.0770694591,2017-01-11
151,21061.4158773182,1,1454.14,683.141340941512,17354.9000951489,2017-01-12
152,21061.4158773182,0,1447.45,685.388516405136,17411.988582304,2017-01-15
153,21061.4158773182,1,1458.97,689.133808844508,17507.1360608958,2017-01-16
154,21061.4158773182,1,1476.9,698.122510699001,17735.4900095162,2017-01-17
155,21061.4158773182,0,1476.51,710.107446504993,18039.96194101,2017-01-18
156,21061.4158773182,1,1479.86,707.86027104137,17982.8734538549,2017-01-19
157,21061.4158773182,1,1477.72,698.871569186876,17754.5195052345,2017-01-22
158,21061.4158773182,1,1466.09,684.639457917261,17392.9590865856,2017-01-23
159,21061.4158773182,1,1463.04,683.141340941512,17354.9000951489,2017-01-24
160,21061.4158773182,1,1462.23,682.392282453638,17335.8705994305,2017-01-25
161,21061.4158773182,2,1462.56,680.894165477889,17297.8116079938,2017-01-26
162,20994.0006134095,0,1465.84,683.141340941512,17354.9000951489,2017-01-30
163,20994.0006134095,2,1457.88,680.894165477889,17297.8116079938,2017-01-31
164,20343.8178459344,0,1432.99,674.901697574893,17145.5756422469,2017-02-01
165,20343.8178459345,2,1396.61,653.928059914408,16612.7497621326,2017-02-02
166,19391.764507846,0,1375.14,650.182767475036,16517.6022835408,2017-02-05
167,19391.764507846,2,1309.7,619.471369472183,15737.3929590878,2017-02-06
168,20110.8606562055,2,1326.6,630.7072467903,16022.8353948633,2017-02-07
169,20290.6346932953,0,1389.83,654.677118402283,16631.779257851,2017-02-08
170,20290.6346932953,1,1382.45,660.669586305278,16784.0152235979,2017-02-09
171,20290.6346932953,1,1364.5,660.669586305278,16784.0152235979,2017-02-12
172,20290.6346932953,2,1348.84,644.19029957204,16365.3663177939,2017-02-13
173,20151.3098145507,0,1344.6,637.44877318117,16194.1008563286,2017-02-14
174,20151.3098145507,2,1322.98,632.954422253923,16079.9238820184,2017-02-15
175,19216.4848216834,0,1296.23,621.718544935806,15794.4814462429,2017-02-16
176,19216.4848216834,2,1252.5,592.505263908702,15052.3311132267,2017-02-19
177,19081.654293866,1,1278.98,621.718544935806,15794.4814462429,2017-02-20
178,19800.7504422254,0,1274.97,617.224194008559,15680.3044719327,2017-02-21
179,19800.7504422254,2,1316.8,641.194065620542,16289.2483349204,2017-02-22
180,20322.0951497861,0,1343.85,660.669586305278,16784.0152235979,2017-02-23
181,20322.0951497861,2,1369.35,678.646990014265,17240.7231208387,2017-02-26
182,20256.927061341,0,1365.11,689.882867332382,17526.1655566141,2017-02-28
183,20256.927061341,2,1357.57,687.635691868759,17469.0770694591,2017-03-01
184,20054.6812696149,0,1344.11,674.152639087019,17126.5461465285,2017-03-02
185,20054.6812696149,2,1337.46,667.411112696148,16955.2806850632,2017-03-05
186,19915.3563908702,0,1313.01,637.44877318117,16194.1008563286,2017-03-06
187,19915.3563908702,2,1299.29,632.954422253923,16079.9238820184,2017-03-07
188,20194.0061483595,0,1316.8,635.201597717546,16137.0123691735,2017-03-09
189,20194.0061483595,2,1329.41,644.19029957204,16365.3663177939,2017-03-13
190,20441.1954493581,0,1354.34,658.422410841655,16726.9267364428,2017-03-14
191,20441.1954493581,2,1358.41,666.662054208274,16936.2511893448,2017-03-15
192,20464.4162624822,2,1341.56,650.93182596291,16536.6317792592,2017-03-16
193,20743.0660199715,2,1347.53,651.680884450785,16555.6612749775,2017-03-19
194,20650.1827674751,2,1355.23,660.669586305278,16784.0152235979,2017-03-20
195,20534.0787018545,2,1347.09,657.67335235378,16707.8972407244,2017-03-21
196,20534.0787018545,2,1356.13,653.928059914408,16612.7497621326,2017-03-22
197,20534.0787018545,2,1357.34,653.928059914408,16612.7497621326,2017-03-23
198,20812.7284593438,2,1382.19,653.928059914408,16612.7497621326,2017-03-26
199,21021.7157774608,2,1424.38,662.916761768902,16841.103710753,2017-03-28
200,21091.3782168331,2,1462.23,669.658288159772,17012.3691722183,2017-03-29
201,20952.0533380885,2,1481.08,671.905463623395,17069.4576593734,2017-03-30
202,21370.0279743224,2,1486.04,667.411112696148,16955.2806850632,2017-04-02
203,22414.9645649073,2,1533.83,680.894165477889,17297.8116079938,2017-04-03
