,"Episode End Value","action","Nepse Data","Stock price","Date","Normal Investor"
0,20000,2,1838.49,536.287555555556,"2016-07-25",19999.9999999984
1,20159.2933333334,2,1866.5,540.71237037037,"2016-07-26",20165.0165016485
2,20191.152,2,1881.45,545.137185185185,"2016-07-27",20330.0330032986
3,19968.1413333333,2,1877.93,546.022148148148,"2016-07-28",20363.0363036287
4,19649.5546666667,2,1862.76,539.827407407407,"2016-07-31",20132.0132013184
5,19551.3237777778,2,1845.41,530.977777777778,"2016-08-01",19801.9801980182
6,19092.912962963,2,1826.47,528.322888888889,"2016-08-02",19702.9702970281
7,18536.2712592593,2,1813.72,515.933407407407,"2016-08-03",19240.9240924076
8,18274.3222222222,0,1768.6,500.889037037037,"2016-08-04",18679.8679867971
9,18274.3222222222,2,1764.72,493.809333333333,"2016-08-07",18415.8415841569
10,19350.4371851852,2,1675.91,474.340148148148,"2016-08-08",17689.7689768962
11,19115.037037037,2,1760.42,502.658962962963,"2016-08-09",18745.8745874572
12,19047.7798518518,2,1779.57,496.464222222222,"2016-08-10",18514.851485147
13,18610.6081481482,2,1774.87,494.694296296296,"2016-08-11",18448.8448844869
14,18106.1792592593,2,1733.93,483.189777777778,"2016-08-14",18019.8019801965
15,18240.6936296296,2,1694.81,469.915333333333,"2016-08-15",17524.7524752461
16,18711.4939259259,2,1717.45,473.455185185185,"2016-08-16",17656.7656765662
17,18576.9795555556,2,1734.93,485.844666666667,"2016-08-17",18118.8118811866
18,18745.1225185185,2,1722.43,482.304814814815,"2016-08-21",17986.7986798665
19,18778.7511111111,2,1683.12,486.72962962963,"2016-08-22",18151.8151815167
20,18812.3797037037,2,1681.86,487.614592592593,"2016-08-23",18184.8184818467
21,18677.8653333334,2,1730.62,488.499555555556,"2016-08-24",18217.8217821767
22,18778.7511111111,2,1748.23,484.959703703704,"2016-08-28",18085.8085808566
23,18778.7511111111,2,1766.54,487.614592592593,"2016-08-29",18184.8184818467
24,19518.5801481482,2,1788.08,487.614592592593,"2016-08-30",18184.8184818467
25,19821.2374814815,2,1797.45,507.083777777778,"2016-08-31",18910.8910891074
26,19552.2087407408,2,1805.18,515.048444444444,"2016-09-01",19207.9207920776
27,19888.4946666667,2,1819.83,507.968740740741,"2016-09-04",18943.8943894374
28,19888.4946666667,2,1838.9,516.81837037037,"2016-09-05",19273.9273927377
29,19316.8085925926,2,1834.8,516.81837037037,"2016-09-06",19273.9273927377
30,19047.7798518518,2,1824.83,501.774,"2016-09-07",18712.8712871272
31,18644.2367407408,2,1823.05,494.694296296296,"2016-09-08",18448.8448844869
32,18375.208,2,1816.81,484.074740740741,"2016-09-11",18052.8052805266
33,18106.1792592593,2,1818.69,476.995037037037,"2016-09-12",17788.7788778863
34,18274.3222222222,2,1815.17,469.915333333333,"2016-09-14",17524.7524752461
35,17938.0362962963,2,1804.48,474.340148148148,"2016-09-18",17689.7689768962
36,17837.1505185185,2,1786.5,465.490518518519,"2016-09-20",17359.7359735959
37,17736.2647407408,2,1779.13,462.83562962963,"2016-09-21",17260.7260726058
38,17399.9788148148,2,1766.91,460.180740740741,"2016-09-22",17161.7161716158
39,17467.236,2,1730.64,451.331111111111,"2016-09-25",16831.6831683154
40,17433.6074074074,2,1757.1,453.101037037037,"2016-09-26",16897.6897689755
41,17500.8645925926,2,1753.72,452.216074074074,"2016-09-27",16864.6864686455
42,17500.8645925926,2,1749.1,453.986,"2016-09-28",16930.6930693055
43,17635.378962963,2,1753.38,453.986,"2016-09-29",16930.6930693055
44,17601.7503703704,2,1763.78,457.525851851852,"2016-10-02",17062.7062706257
45,17635.378962963,2,1780.4,456.640888888889,"2016-10-03",17029.7029702956
46,17736.2647407408,2,1798.5,457.525851851852,"2016-10-04",17062.7062706257
47,17870.7791111111,2,1806.6,460.180740740741,"2016-10-05",17161.7161716158
48,17669.0075555556,2,1819.88,463.720592592593,"2016-10-06",17293.7293729359
49,17568.1217777778,2,1803.74,458.410814814815,"2016-10-16",17095.7095709557
50,17399.9788148148,2,1793.36,455.755925925926,"2016-10-17",16996.6996699656
51,17433.6074074074,2,1792.73,451.331111111111,"2016-10-18",16831.6831683154
52,17399.9788148148,2,1787.89,452.216074074074,"2016-10-19",16864.6864686455
53,17299.093037037,2,1794.47,451.331111111111,"2016-10-20",16831.6831683154
54,17265.4644444444,2,1782.39,448.676222222222,"2016-10-23",16732.6732673253
55,16962.8071111111,2,1768.89,447.791259259259,"2016-10-24",16699.6699669953
56,16962.8071111111,2,1751,439.826592592593,"2016-10-25",16402.6402640251
57,17164.5786666667,2,1753.46,439.826592592593,"2016-10-26",16402.6402640251
58,17265.4644444444,2,1759.71,445.13637037037,"2016-10-27",16600.6600660052
59,17164.5786666667,2,1762.21,447.791259259259,"2016-11-03",16699.6699669953
60,16962.8071111111,2,1749.12,445.13637037037,"2016-11-07",16600.6600660052
61,16761.0355555556,2,1724.49,439.826592592593,"2016-11-08",16402.6402640251
62,16895.5499259259,2,1696.86,434.516814814815,"2016-11-09",16204.6204620449
63,16929.1785185185,2,1697.17,438.056666666667,"2016-11-10",16336.633663365
64,16962.8071111111,0,1700,438.94162962963,"2016-11-13",16369.636963695
65,16962.8071111111,2,1706.28,439.826592592593,"2016-11-14",16402.6402640251
66,16794.6641481482,2,1701.91,439.826592592593,"2016-11-15",16402.6402640251
67,16761.0355555556,2,1698.9,435.401777777778,"2016-11-16",16237.6237623749
