,Episode End Value,action,Nepse Data,Stock price
0,20000.0,1,1377.33,710.0
1,20000.0,1,1374.75,700.0
2,20000.0,1,1370.04,700.0
3,20000.0,1,1362.98,700.0
4,20000.0,1,1355.48,696.0
5,20000.0,1,1351.54,691.0
6,20000.0,1,1362.53,701.0
7,20000.0,1,1375.26,710.0
8,20000.0,0,1377.42,709.0
9,20000.0,1,1382.42,710.0
10,20000.0,2,1383.85,712.0
11,20000.0,2,1388.63,715.0
12,18677.0,1,1405.78,715.0
13,18380.0,0,1409.43,666.0
14,18380.0,2,1428.6,655.0
15,18542.0,2,1430.81,660.0
16,18245.0,2,1440.69,666.0
17,18380.0,2,1441.67,655.0
18,18353.0,2,1454.35,660.0
19,18218.0,2,1461.75,659.0
20,18218.0,2,1453.11,654.0
21,18218.0,2,1458.38,654.0
22,18191.0,2,1464.91,654.0
23,18137.0,2,1471.95,653.0
24,18137.0,2,1468.11,651.0
25,18245.0,2,1463.13,651.0
26,18515.0,2,1472.69,655.0
27,18515.0,2,1482.9,665.0
28,18191.0,2,1484.04,665.0
29,18272.0,1,1481.18,653.0
30,18650.0,2,1481.94,656.0
31,18299.0,2,1477.38,670.0
32,18407.0,2,1467.51,657.0
33,18380.0,2,1483.68,661.0
34,18380.0,2,1496.41,660.0
35,18380.0,2,1499.32,660.0
36,18326.0,2,1509.39,660.0
37,18245.0,2,1524.07,658.0
38,18164.0,2,1544.53,655.0
39,18137.0,2,1524.12,652.0
40,18137.0,2,1525.09,651.0
41,18353.0,2,1522.25,651.0
42,18407.0,2,1526.96,659.0
43,18380.0,2,1532.12,661.0
44,18434.0,2,1523.56,660.0
45,18326.0,2,1518.12,662.0
46,18380.0,2,1483.14,658.0
47,18515.0,2,1516.8,660.0
48,18515.0,2,1531.49,665.0
49,18623.0,2,1546.8,665.0
50,18650.0,2,1566.7,669.0
51,18596.0,2,1597.96,670.0
52,18515.0,2,1609.59,668.0
53,18569.0,2,1614.15,665.0
54,18569.0,2,1620.47,667.0
55,18785.0,2,1632.94,667.0
56,18785.0,2,1622.27,675.0
57,18893.0,2,1615.1,675.0
58,18731.0,2,1628.81,679.0
59,18758.0,2,1647.51,673.0
60,18758.0,2,1666.83,674.0
61,18785.0,2,1685.17,674.0
62,18893.0,2,1712.84,675.0
63,18947.0,2,1724.19,679.0
64,19028.0,2,1724.59,681.0
65,19136.0,2,1723.23,684.0
66,19082.0,2,1719.2,688.0
67,19217.0,2,1716.83,686.0
68,19244.0,2,1713.03,691.0
69,19244.0,1,1715.72,692.0
70,18353.0,1,1722.53,692.0
71,18812.0,1,1702.27,659.0
72,18866.0,2,1693.07,676.0
73,19163.0,2,1690.43,678.0
74,19163.0,2,1718.15,689.0
75,19190.0,2,1745.74,689.0
76,19163.0,2,1783.0,690.0
77,19163.0,2,1800.47,689.0
78,19163.0,2,1786.84,689.0
79,19082.0,2,1798.83,689.0
80,19109.0,2,1833.89,686.0
81,18974.0,2,1866.5,687.0
82,19001.0,2,1881.45,682.0
83,19109.0,2,1877.93,683.0
84,18974.0,0,1862.76,687.0
85,18974.0,2,1845.41,682.0
86,18893.0,2,1826.47,683.0
87,18731.0,2,1813.72,680.0
88,19298.0,0,1768.6,674.0
89,19298.0,2,1764.72,695.0
90,19522.0,2,1675.91,672.0
91,19522.0,2,1779.57,680.0
92,19382.0,2,1774.87,680.0
93,19410.0,0,1733.93,675.0
94,19410.0,2,1694.81,676.0
95,19522.0,2,1717.45,680.0
96,19550.0,2,1734.99,684.0
97,19186.0,2,1722.43,685.0
98,19158.0,2,1683.12,672.0
99,19270.0,2,1681.86,671.0
100,19410.0,2,1730.62,675.0
101,19550.0,2,1748.23,680.0
102,19578.0,2,1766.54,685.0
103,19830.0,2,1788.08,686.0
104,19830.0,2,1797.45,695.0
105,19718.0,2,1797.45,695.0
106,19718.0,2,1805.18,691.0
107,19970.0,2,1819.83,691.0
108,19970.0,2,1838.9,700.0
109,19970.0,2,1834.8,700.0
110,19662.0,2,1824.83,700.0
111,19914.0,2,1823.05,689.0
112,19970.0,2,1816.81,698.0
113,19634.0,2,1818.69,700.0
114,19942.0,2,1815.17,688.0
115,19718.0,2,1804.48,699.0
116,19690.0,2,1786.5,691.0
117,19858.0,2,1779.13,690.0
118,19606.0,2,1766.91,696.0
119,19858.0,2,1730.64,687.0
120,19690.0,2,1757.07,696.0
121,19690.0,2,1753.72,690.0
122,19690.0,2,1749.1,690.0
123,19690.0,2,1753.38,690.0
124,19690.0,2,1763.78,690.0
125,19606.0,2,1780.4,690.0
126,19690.0,2,1798.5,687.0
127,19970.0,2,1806.6,690.0
128,19606.0,2,1819.88,700.0
129,19634.0,2,1803.74,687.0
