Date,AI Bot,action,Nepse Data,Stock price,Normal Investor
2016-03-27,20000,0,1377.33,710,20000
2016-03-28,20000,0,1374.75,700,19718.3098591549
2016-03-29,20000,0,1370.04,700,19718.3098591549
2016-03-30,20000,0,1362.98,700,19718.3098591549
2016-03-31,20000,0,1355.48,696,19605.6338028169
2016-04-03,20000,2,1351.54,691,19464.7887323944
2016-04-04,20252,2,1362.53,701,19746.4788732394
2016-04-05,20224,0,1375.26,710,20000
2016-04-06,20224,0,1377.42,709,19971.8309859155
2016-04-10,20224,2,1382.42,710,20000
2016-04-11,20308,2,1383.85,712,20056.338028169
2016-04-12,20308,0,1388.63,715,20140.8450704225
2016-04-14,20308,0,1405.78,715,20140.8450704225
2016-04-17,20308,1,1409.43,666,18760.5633802817
2016-04-18,20308,2,1428.6,655,18450.7042253521
2016-04-19,20488,2,1430.81,660,18591.5492957746
2016-04-20,20158,2,1440.69,666,18760.5633802817
2016-04-21,20308,2,1441.67,655,18450.7042253521
2016-04-24,20278,1,1454.35,660,18591.5492957746
2016-04-25,20128,2,1461.75,659,18563.3802816901
2016-04-26,20128,1,1453.11,654,18422.5352112676
2016-04-27,20128,1,1458.38,654,18422.5352112676
2016-04-28,20098,1,1464.91,654,18422.5352112676
2016-05-03,20038,1,1471.95,653,18394.3661971831
2016-05-04,20038,1,1468.11,651,18338.0281690141
2016-05-05,20158,1,1463.13,651,18338.0281690141
2016-05-08,20458,1,1472.69,655,18450.7042253521
2016-05-09,20458,1,1482.9,665,18732.3943661972
2016-05-10,20098,1,1484.04,665,18732.3943661972
2016-05-11,20188,1,1481.18,653,18394.3661971831
2016-05-12,20608,1,1481.94,656,18478.8732394366
2016-05-15,20218,1,1477.38,670,18873.2394366197
2016-05-16,20338,1,1467.51,657,18507.0422535211
2016-05-17,20308,1,1483.68,661,18619.7183098592
2016-05-18,20308,1,1496.41,660,18591.5492957746
2016-05-19,20308,1,1499.32,660,18591.5492957746
2016-05-22,20248,1,1509.39,660,18591.5492957746
2016-05-23,20158,1,1524.07,658,18535.2112676056
2016-05-24,20068,1,1544.53,655,18450.7042253521
2016-05-25,20038,1,1524.12,652,18366.1971830986
2016-05-26,20038,1,1525.09,651,18338.0281690141
2016-05-29,20278,1,1522.25,651,18338.0281690141
2016-05-30,20338,1,1526.96,659,18563.3802816901
2016-05-31,20308,1,1532.12,661,18619.7183098592
2016-06-01,20368,1,1523.56,660,18591.5492957746
2016-06-02,20248,1,1518.12,662,18647.8873239437
2016-06-05,20308,1,1483.14,658,18535.2112676056
2016-06-06,20458,1,1516.8,660,18591.5492957746
2016-06-07,20458,1,1531.49,665,18732.3943661972
2016-06-08,20578,1,1546.8,665,18732.3943661972
2016-06-09,20608,1,1566.7,669,18845.0704225352
2016-06-12,20548,1,1597.96,670,18873.2394366197
2016-06-13,20458,1,1609.59,668,18816.9014084507
2016-06-14,20518,1,1614.15,665,18732.3943661972
2016-06-15,20518,1,1620.47,667,18788.7323943662
2016-06-16,20758,1,1632.94,667,18788.7323943662
2016-06-19,20758,1,1622.27,675,19014.0845070423
2016-06-20,20878,1,1615.1,675,19014.0845070423
2016-06-21,20698,1,1628.81,679,19126.7605633803
2016-06-22,20728,1,1647.51,673,18957.7464788732
2016-06-23,20728,2,1666.83,674,18985.9154929577
2016-06-26,20758,2,1685.17,674,18985.9154929577
2016-06-27,20878,2,1712.84,675,19014.0845070423
2016-06-28,20938,2,1724.19,679,19126.7605633803
2016-06-29,21028,2,1724.59,681,19183.0985915493
2016-06-30,21148,2,1723.23,684,19267.6056338028
2016-07-03,21088,2,1719.2,688,19380.2816901408
2016-07-04,21238,2,1716.83,686,19323.9436619718
2016-07-05,21268,2,1713.03,691,19464.7887323944
2016-07-06,21268,2,1715.72,692,19492.9577464789
2016-07-10,20278,2,1722.53,692,19492.9577464789
2016-07-11,20788,2,1702.27,659,18563.3802816901
2016-07-12,20848,2,1693.07,676,19042.2535211268
2016-07-13,21178,2,1690.43,678,19098.5915492958
2016-07-14,21178,2,1718.15,689,19408.4507042254
2016-07-17,21208,2,1745.74,689,19408.4507042254
2016-07-18,21178,2,1783,690,19436.6197183099
2016-07-19,21178,2,1800.47,689,19408.4507042254
2016-07-20,21178,2,1786.84,689,19408.4507042254
2016-07-21,21088,1,1798.83,689,19408.4507042254
2016-07-25,21118,2,1833.89,686,19323.9436619718
2016-07-26,20968,2,1866.5,687,19352.1126760563
2016-07-27,20998,2,1881.45,682,19211.2676056338
2016-07-28,21118,2,1877.93,683,19239.4366197183
2016-07-31,20968,2,1862.76,687,19352.1126760563
2016-08-01,20998,2,1845.41,682,19211.2676056338
2016-08-02,20908,2,1826.47,683,19239.4366197183
2016-08-03,20728,2,1813.72,680,19154.9295774648
2016-08-04,21358,2,1768.6,674,18985.9154929577
2016-08-07,20668,2,1764.72,695,19577.4647887324
2016-08-08,20908,2,1675.91,672,18929.5774647887
2016-08-10,20908,2,1779.57,680,19154.9295774648
2016-08-11,20758,2,1774.87,680,19154.9295774648
2016-08-14,20788,2,1733.93,675,19014.0845070423
2016-08-15,20908,2,1694.81,676,19042.2535211268
2016-08-16,21028,2,1717.45,680,19154.9295774648
2016-08-17,21058,2,1734.99,684,19267.6056338028
2016-08-21,20668,2,1722.43,685,19295.7746478873
2016-08-22,20638,2,1683.12,672,18929.5774647887
2016-08-23,20758,1,1681.86,671,18901.4084507042
2016-08-24,20908,2,1730.62,675,19014.0845070423
2016-08-28,21058,2,1748.23,680,19154.9295774648
2016-08-29,21088,2,1766.54,685,19295.7746478873
2016-08-30,21358,2,1788.08,686,19323.9436619718
2016-08-31,21358,2,1797.45,695,19577.4647887324
2016-08-31,21238,2,1797.45,695,19577.4647887324
2016-09-01,21238,2,1805.18,691,19464.7887323944
2016-09-04,21508,2,1819.83,691,19464.7887323944
2016-09-05,21508,0,1838.9,700,19718.3098591549
2016-09-06,21508,0,1834.8,700,19718.3098591549
2016-09-07,21508,2,1824.83,700,19718.3098591549
2016-09-08,21787,2,1823.05,689,19408.4507042254
2016-09-11,21849,2,1816.81,698,19661.9718309859
2016-09-12,21477,2,1818.69,700,19718.3098591549
2016-09-14,21818,2,1815.17,688,19380.2816901408
2016-09-18,21570,1,1804.48,699,19690.1408450704
2016-09-20,21539,1,1786.5,691,19464.7887323944
2016-09-21,21725,1,1779.13,690,19436.6197183099
2016-09-22,21446,1,1766.91,696,19605.6338028169
2016-09-25,21725,1,1730.64,687,19352.1126760563
2016-09-26,21539,0,1757.07,696,19605.6338028169
2016-09-27,21539,0,1753.72,690,19436.6197183099
2016-09-28,21539,0,1749.1,690,19436.6197183099
2016-09-29,21539,0,1753.38,690,19436.6197183099
2016-10-02,21539,0,1763.78,690,19436.6197183099
2016-10-03,21539,0,1780.4,690,19436.6197183099
2016-10-04,21539,0,1798.5,687,19352.1126760563
2016-10-05,21539,0,1806.6,690,19436.6197183099
2016-10-06,21539,0,1819.88,700,19718.3098591549
2016-10-16,21539,0,1803.74,687,19352.1126760563
2016-10-17,21539,0,1793.36,688,19380.2816901408
2016-10-18,21539,0,1792.7,700,19718.3098591549
2016-10-19,21539,0,1787.89,693,19521.1267605634
2016-10-20,21539,0,1794.47,694,19549.2957746479
2016-10-23,21539,0,1782.39,682,19211.2676056338
2016-10-24,21539,0,1768.89,680,19154.9295774648
2016-10-25,21539,0,1751,682,19211.2676056338
2016-10-26,21539,0,1753.46,690,19436.6197183099
2016-10-27,21539,0,1759.71,690,19436.6197183099
2016-11-03,21539,0,1762.21,680,19154.9295774648
2016-11-07,21539,0,1749.12,681,19183.0985915493
2016-11-08,21539,0,1724.49,677,19070.4225352113
2016-11-09,21539,0,1696.86,670,18873.2394366197
2016-11-10,21539,0,1697.17,675,19014.0845070423
2016-11-13,21539,0,1700,679,19126.7605633803
2016-11-14,21539,0,1706.28,676,19042.2535211268
2016-11-15,21539,0,1701.91,685,19295.7746478873
2016-11-16,21539,0,1698.9,685,19295.7746478873
2016-11-17,21539,2,1658.08,676,19042.2535211268
2016-11-20,22221,2,1599.62,675,19014.0845070423
2016-11-21,21849,2,1606.29,697,19633.8028169014
2016-11-22,21415,2,1582.47,685,19295.7746478873
2016-11-23,21973,2,1540.01,671,18901.4084507042
2016-11-24,21539,1,1534.03,689,19408.4507042254
2016-11-27,21849,2,1469.48,675,19014.0845070423
2016-11-28,21849,2,1510.16,685,19295.7746478873
2016-11-29,21973,2,1553.68,685,19295.7746478873
2016-11-30,22004,2,1608.33,689,19408.4507042254
2016-12-01,21694,2,1600.49,690,19436.6197183099
2016-12-04,21694,1,1570.95,680,19154.9295774648
2016-12-05,21694,2,1544.6,680,19154.9295774648
2016-12-06,21756,2,1554.51,680,19154.9295774648
2016-12-07,21694,2,1553.9,682,19211.2676056338
2016-12-08,21601,2,1544.68,680,19154.9295774648
2016-12-11,21694,2,1522.8,677,19070.4225352113
2016-12-12,21725,0,1509.43,680,19154.9295774648
2016-12-14,21725,2,1516.08,681,19183.0985915493
2016-12-15,21911,2,1530.06,679,19126.7605633803
2016-12-18,21756,2,1531.35,685,19295.7746478873
2016-12-19,21911,2,1514.88,680,19154.9295774648
2016-12-20,21818,2,1495.99,685,19295.7746478873
2016-12-21,22531,2,1470.63,682,19211.2676056338
2016-12-22,22128,2,1475.41,705,19859.1549295775
2016-12-26,22066,2,1432.57,692,19492.9577464789
2016-12-27,22066,2,1407.53,690,19436.6197183099
2016-12-28,22066,2,1413.15,690,19436.6197183099
2016-12-29,22314,2,1443.38,690,19436.6197183099
2017-01-01,22376,2,1465.72,698,19661.9718309859
2017-01-02,22376,2,1482.85,700,19718.3098591549
2017-01-03,22345,2,1456.82,700,19718.3098591549
2017-01-04,22376,2,1457.82,699,19690.1408450704
2017-01-05,22252,0,1454.14,700,19718.3098591549
2017-01-08,22252,2,1447.45,696,19605.6338028169
2017-01-09,22159,2,1458.97,698,19661.9718309859
2017-01-10,22159,2,1476.9,695,19577.4647887324
2017-01-11,22159,2,1476.51,695,19577.4647887324
2017-01-12,22128,2,1479.86,695,19577.4647887324
2017-01-15,22159,1,1477.72,694,19549.2957746479
2017-01-16,22066,1,1466.09,695,19577.4647887324
2017-01-17,22004,1,1463.04,692,19492.9577464789
2017-01-18,22066,1,1462.23,690,19436.6197183099
2017-01-19,22159,1,1462.56,692,19492.9577464789
2017-01-22,22004,1,1465.84,695,19577.4647887324
2017-01-23,21787,1,1457.88,690,19436.6197183099
2017-01-24,21849,1,1432.99,683,19239.4366197183
2017-01-25,21601,0,1396.61,685,19295.7746478873
2017-01-26,21601,0,1375.14,677,19070.4225352113
2017-01-30,21601,0,1309.7,663,18676.0563380282
2017-01-31,21601,0,1326.6,660,18591.5492957746
2017-02-01,21601,0,1389.83,680,19154.9295774648
2017-02-02,21601,0,1382.45,670,18873.2394366197
2017-02-05,21601,0,1364.5,661,18619.7183098592
2017-02-06,21601,0,1348.84,665,18732.3943661972
2017-02-07,21601,0,1344.6,670,18873.2394366197
2017-02-08,21601,0,1322.98,660,18591.5492957746
2017-02-09,21601,0,1296.23,660,18591.5492957746
2017-02-12,21601,0,1252.5,655,18450.7042253521
2017-02-13,21601,0,1278.98,670,18873.2394366197
2017-02-14,21601,0,1274.97,667,18788.7323943662
2017-02-15,21601,0,1316.8,669,18845.0704225352
2017-02-16,21601,0,1343.85,660,18591.5492957746
2017-02-19,21601,0,1369.35,689,19408.4507042254
2017-02-20,21601,0,1365.11,682,19211.2676056338
2017-02-21,21601,0,1357.57,681,19183.0985915493
2017-02-22,21601,0,1344.11,675,19014.0845070423
2017-02-23,21601,0,1337.46,678,19098.5915492958
2017-02-26,21601,1,1313.01,634,17859.1549295775
2017-02-28,21601,0,1299.29,629,17718.3098591549
2017-03-01,21601,2,1316.8,633,17830.985915493
2017-03-02,21499,2,1329.41,627,17661.9718309859
2017-03-05,21703,2,1354.34,624,17577.4647887324
2017-03-06,21635,2,1358.41,630,17746.4788732394
2017-03-07,21499,2,1341.6,628,17690.1408450704
2017-03-09,21363,2,1347.53,624,17577.4647887324
2017-03-13,21363,2,1355.23,620,17464.7887323944
2017-03-14,21533,2,1347.09,620,17464.7887323944
2017-03-15,21533,2,1356.13,625,17605.6338028169
2017-03-16,21873,2,1357.34,625,17605.6338028169
2017-03-19,21873,2,1382.19,635,17887.323943662
2017-03-20,21873,2,1424.38,635,17887.323943662
2017-03-21,21873,2,1462.23,635,17887.323943662
2017-03-22,21703,2,1481.08,635,17887.323943662
2017-03-23,21805,2,1486.04,630,17746.4788732394
2017-03-26,21839,2,1533.83,633,17830.985915493
2017-03-28,21873,0,1610.62,634,17859.1549295775
2017-03-29,21873,2,1588.29,635,17887.323943662
2017-03-30,21907,2,1587.64,640,18028.1690140845
2017-04-02,21873,2,1667.11,641,18056.338028169
2017-04-03,21703,2,1660.52,640,18028.1690140845
2017-04-04,21839,2,1657.02,635,17887.323943662
2017-04-06,21839,2,1651.04,639,18000
2017-04-09,21703,2,1651.6,639,18000
2017-04-10,21737,1,1676.49,635,17887.323943662
2017-04-11,22179,2,1709.82,636,17915.4929577465
2017-04-12,22043,2,1703.07,649,18281.6901408451
2017-04-13,21873,2,1697.13,645,18169.014084507
2017-04-16,21839,2,1651.61,640,18028.1690140845
2017-04-18,21703,2,1612.04,639,18000
2017-04-19,21839,2,1662.02,635,17887.323943662
2017-04-20,22111,2,1658.34,639,18000
2017-04-23,21839,2,1693.72,647,18225.3521126761
2017-04-24,21839,2,1675.78,639,18000
2017-04-25,21975,2,1672.38,639,18000
2017-04-26,21805,2,1670.3,643,18112.676056338
2017-04-27,21839,2,1670.62,638,17971.8309859155
2017-04-30,21839,2,1650.78,639,18000
2017-05-02,22009,2,1658.33,639,18000
2017-05-03,21907,2,1662.38,644,18140.8450704225
2017-05-04,21941,2,1653.18,641,18056.338028169
2017-05-07,21907,2,1628.98,642,18084.5070422535
2017-05-08,21941,2,1637.3,641,18056.338028169
2017-05-09,22553,2,1650.81,642,18084.5070422535
2017-05-11,22213,2,1658.58,660,18591.5492957746
2017-05-15,22213,1,1659.23,650,18309.8591549296
2017-05-16,22213,0,1649.24,650,18309.8591549296
2017-05-17,22213,0,1644.26,650,18309.8591549296
2017-05-18,22213,0,1643.87,650,18309.8591549296
2017-05-21,22213,0,1627.24,653,18394.3661971831
2017-05-22,22213,0,1616.4,653,18394.3661971831
2017-06-01,22213,0,1604.31,658,18535.2112676056
2017-06-04,22213,0,1593.81,659,18563.3802816901
2017-06-05,22213,0,1602.65,663,18676.0563380282
2017-06-06,22213,0,1637.37,679,19126.7605633803
2017-06-07,22213,0,1623.13,680,19154.9295774648
2017-06-08,22213,0,1615.19,675,19014.0845070423
2017-06-11,22213,0,1590.49,662,18647.8873239437
2017-06-12,22213,0,1580.52,660,18591.5492957746
2017-06-13,22213,0,1585.15,670,18873.2394366197
2017-06-14,22213,0,1584.49,664,18704.2253521127
2017-06-15,22213,0,1589.59,660,18591.5492957746
2017-06-18,22213,0,1575.98,660,18591.5492957746
2017-06-19,22213,0,1555.16,660,18591.5492957746
2017-06-20,22213,0,1551.07,666,18760.5633802817
2017-06-21,22213,0,1554.69,662,18647.8873239437
2017-06-22,22213,0,1559.49,663,18676.0563380282
2017-06-25,22213,0,1567.72,662,18647.8873239437
2017-06-27,22213,2,1565.09,663,18676.0563380282
2017-06-28,22312,0,1563.81,662,18647.8873239437
2017-07-02,22312,0,1541.82,665,18732.3943661972
2017-07-03,22312,0,1544.29,662,18647.8873239437
2017-07-04,22312,2,1541.28,662,18647.8873239437
2017-07-05,22345,1,1551.06,663,18676.0563380282
2017-07-06,22345,0,1582.11,664,18704.2253521127
2017-07-09,22345,0,1584.15,664,18704.2253521127
2017-07-10,22345,0,1575.22,660,18591.5492957746
2017-07-10,22345,0,1575.22,660,18591.5492957746
2017-07-11,22345,0,1585.01,662,18647.8873239437
2017-07-12,22345,0,1587.25,664,18704.2253521127
2017-07-13,22345,0,1582.67,675,19014.0845070423
2017-07-16,22345,0,1583.57,670,18873.2394366197
2017-07-17,22345,0,1604.15,670,18873.2394366197
2017-07-18,22345,0,1638.41,668,18816.9014084507
2017-07-19,22345,0,1637.27,668,18816.9014084507
2017-07-20,22345,0,1635.75,670,18873.2394366197
2017-07-23,22345,0,1635.56,671,18901.4084507042
2017-07-24,22345,0,1629.08,671,18901.4084507042
2017-07-25,22345,0,1636.19,668,18816.9014084507
2017-07-26,22345,0,1645.03,669,18845.0704225352
2017-07-27,22345,1,1646.53,669,18845.0704225352
2017-07-30,22345,0,1643.28,670,18873.2394366197
2017-07-31,22345,0,1652.69,674,18985.9154929577
2017-08-01,22345,0,1660.25,685,19295.7746478873
2017-08-02,22345,0,1662.74,685,19295.7746478873
2017-08-06,22345,0,1665.05,694,19549.2957746479
2017-08-07,22345,0,1667.94,712,20056.338028169
2017-08-09,22345,0,1661.72,711,20028.1690140845
2017-08-10,22345,0,1653.53,706,19887.323943662
2017-08-13,22345,0,1642.13,703,19802.8169014085
2017-08-15,22345,0,1629.16,699,19690.1408450704
2017-08-16,22345,0,1632.66,702,19774.6478873239
2017-08-17,22345,0,1629.75,699,19690.1408450704
2017-08-20,22345,0,1617.97,697,19633.8028169014
2017-08-21,22345,0,1611.57,697,19633.8028169014
2017-08-22,22345,0,1614.05,705,19859.1549295775
2017-08-23,22345,0,1611.27,708,19943.661971831
2017-08-24,22345,0,1617.81,709,19971.8309859155
2017-08-27,22345,0,1622.32,705,19859.1549295775
2017-08-28,22345,1,1612.91,702,19774.6478873239
2017-08-30,22345,0,1598.36,705,19859.1549295775
2017-08-31,22345,0,1580.03,705,19859.1549295775
2017-09-04,22345,0,1554.56,700,19718.3098591549
2017-09-06,22345,0,1566.5,708,19943.661971831
2017-09-07,22345,0,1554.55,706,19887.323943662
2017-09-10,22345,2,1519.66,702,19774.6478873239
2017-09-11,22500,0,1523.26,704,19830.985915493
2017-09-12,22500,2,1502.2,709,19971.8309859155
2017-09-13,22820,2,1493.2,702,19774.6478873239
2017-09-14,22692,2,1530.31,712,20056.338028169
2017-09-17,22628,2,1547.94,708,19943.661971831
2017-09-18,22756,2,1543.7,706,19887.323943662
2017-09-20,22756,2,1539.81,710,20000
2017-09-24,22820,2,1536.92,710,20000
2017-09-25,22916,2,1545.44,712,20056.338028169
2017-09-26,23012,2,1549.46,715,20140.8450704225
2017-10-03,23204,2,1556.35,718,20225.3521126761
2017-10-04,23012,1,1542.65,724,20394.3661971831
2017-10-08,23236,2,1510.01,718,20225.3521126761
2017-10-09,23556,2,1501.89,725,20422.5352112676
2017-10-10,23908,2,1502.63,735,20704.2253521127
2017-10-11,24996,2,1505.99,746,21014.0845070423
2017-10-12,24996,2,1510.02,780,21971.8309859155
2017-10-15,24964,2,1518.28,780,21971.8309859155
2017-10-16,24996,2,1564.9,779,21943.661971831
2017-10-17,25316,2,1559.18,780,21971.8309859155
2017-10-18,25700,0,1568.35,790,22253.5211267606
2017-10-22,25700,0,1571.92,802,22591.5492957746
2017-10-23,25700,0,1568.3,820,23098.5915492958
2017-10-24,25700,0,1567.64,865,24366.1971830986
2017-10-25,25700,0,1553.66,842,23718.3098591549
2017-10-29,25700,0,1540.23,840,23661.9718309859
2017-10-30,25700,0,1536.72,836,23549.2957746479
2017-10-31,25700,1,1533.53,840,23661.9718309859
2017-11-01,25700,2,1526.51,834,23492.9577464789
2017-11-02,25390,0,1522.81,827,23295.7746478873
2017-11-05,25390,0,1496.46,817,23014.0845070423
2017-11-06,25390,0,1493.42,820,23098.5915492958
2017-11-07,25390,0,1484.45,817,23014.0845070423
2017-11-08,25390,2,1466.62,815,22957.7464788732
2017-11-09,25576,0,1460.73,814,22929.5774647887
2017-11-12,25576,2,1477.14,820,23098.5915492958
2017-11-13,25756,1,1490.88,840,23661.9718309859
2017-11-14,25966,0,1516.02,846,23830.985915493
2017-11-15,25966,0,1504.79,853,24028.1690140845
2017-11-16,25966,0,1489.06,850,23943.661971831
2017-11-19,25966,0,1475.72,843,23746.4788732394
2017-11-20,25966,0,1469.16,845,23802.8169014085
2017-11-21,25966,0,1472.24,840,23661.9718309859
2017-11-22,25966,0,1480.26,839,23633.8028169014
2017-11-23,25966,0,1493.29,844,23774.6478873239
